,index,removed_stopword,removed_punctuation,Updated,w2v kmeans,w2v pca kmeans,w2v tfidf kmeans,w2v tfidf pca kmeans,w2v Hierarchical,w2v pca Hierarchical,w2v tfidf Hierarchical,Hw2v_tfidf_pca_euclidean_labels
620,620,5) total training expenditure consolidated sales 6) total training expenditures remuneration costs 7) cumulative basis since 2001,5 total training expenditure consolidated sales 6 total training expenditures remuneration costs 7 cumulative basis since 2001, 5 total train expenditur consolid sale 6 total train expenditur remuner cost 7 cumul basi sinc 2001 ,6,0,1,5,1,4,2,5
114,114,"expansion renewable energy use june 2018, committed sourcing renewable energy 100% worksites united states, europe china 2020. south korea, also pledged install solar geothermal facilities parking lots, roofs, new buildings suwon, hwaseong, pyeongtaek. support commitment, established imple- mented optimized regional action plans, including solar power generation facility installation, renewable energy certif- icate purchase, power purchasing agreements, green pricing. south korea, successfully installed solar power generation facilities suwon giheung sites scales 1.9 mw (2018) 1.5 mw (2019) respectively. also reviewing installation additional solar geothermal power facilities worksites including giheung pyeongtaek. furthermore, india, signed renewable energy supply contract wind solar power suppli- ers, purchased renewable energy certificates mexico. worksites brazil also receive certain percentage renewable energy. result, 2019, 92% electricity used sites united states, europe, china generated renewable energy, track reach 100% renewable energy goal 2020. continue expanding use renewable energy regions renewable energy secured.",expansion renewable energy use june 2018 committed sourcing renewable energy 100 worksites united states europe china 2020 south korea also pledged install solar geothermal facilities parking lots roofs new buildings suwon hwaseong pyeongtaek support commitment established imple mented optimized regional action plans including solar power generation facility installation renewable energy certif icate purchase power purchasing agreements green pricing south korea successfully installed solar power generation facilities suwon giheung sites scales 19 mw 2018 15 mw 2019 respectively also reviewing installation additional solar geothermal power facilities worksites including giheung pyeongtaek furthermore india signed renewable energy supply contract wind solar power suppli ers purchased renewable energy certificates mexico worksites brazil also receive certain percentage renewable energy result 2019 92 electricity used sites united states europe china generated renewable energy track reach 100 renewable energy goal 2020 continue expanding use renewable energy regions renewable energy secured, expans renew energi use june 2018 commit sourc renew energi 100 worksit unit state europ china 2020 south korea also pledg instal solar geotherm facil park lot roof new build suwon hwaseong pyeongtaek support commit establish impl ment optim region action plan includ solar power gener facil instal renew energi certif icat purchas power purchas agreement green price south korea success instal solar power gener facil suwon giheung site scale 19 mw 2018 15 mw 2019 respect also review instal addit solar geotherm power facil worksit includ giheung pyeongtaek furthermor india sign renew energi suppli contract wind solar power suppli er purchas renew energi certif mexico worksit brazil also receiv certain percentag renew energi result 2019 92 electr use site unit state europ china gener renew energi track reach 100 renew energi goal 2020 continu expand use renew energi region renew energi secur ,6,0,9,9,1,4,5,0
115,115,"expansion renewable energy use united states recognizing success expanding use renewable energy, united states environmental protection agency presented samsung electronics america, inc., samsung austin semiconductor, llc, samsung semicon- ductor, inc. 2019 green power leadership award excellence green power use. award reflected 56% increase use renewable energy following installation rooftop solar power generation facilities purchase renewable energy certificate (rec). meanwhile, november 2019, samsung austin semiconduc- tor, partnership apple, ebay sprint, agreed purchase 75mw renewable energy produced large- scale wind farm.",expansion renewable energy use united states recognizing success expanding use renewable energy united states environmental protection agency presented samsung electronics america inc samsung austin semiconductor llc samsung semicon ductor inc 2019 green power leadership award excellence green power use award reflected 56 increase use renewable energy following installation rooftop solar power generation facilities purchase renewable energy certificate rec meanwhile november 2019 samsung austin semiconduc tor partnership apple ebay sprint agreed purchase 75mw renewable energy produced large scale wind farm, expans renew energi use unit state recogn success expand use renew energi unit state environment protect agenc present samsung electron america inc samsung austin semiconductor llc samsung semicon ductor inc 2019 green power leadership award excel green power use award reflect 56 increas use renew energi follow instal rooftop solar power gener facil purchas renew energi certif rec meanwhil novemb 2019 samsung austin semiconduc tor partnership appl ebay sprint agre purchas 75mw renew energi produc larg scale wind farm ,0,0,9,9,1,9,5,0
566,566,"fully aware responsibility expand renewable energy use tackle global climate change. such, strive expand use renewable energy worksites via installation solar panels geothermal units, signed power purchasing agreements, pursued green pricing.",fully aware responsibility expand renewable energy use tackle global climate change such strive expand use renewable energy worksites via installation solar panels geothermal units signed power purchasing agreements pursued green pricing, fulli awar respons expand renew energi use tackl global climat chang such strive expand use renew energi worksit via instal solar panel geotherm unit sign power purchas agreement pursu green price ,6,0,4,3,1,4,1,0
117,117,"risks opportunities samsung electronics regularly monitors issues related climate change, ghg renewable energy use worksites around world. person charge worksite asked immediately report issue may arise headquarters. environmental safety committee ghg management council, regularly check issues discuss actions taken relaying decisions related depart- ments.",risks opportunities samsung electronics regularly monitors issues related climate change ghg renewable energy use worksites around world person charge worksite asked immediately report issue may arise headquarters environmental safety committee ghg management council regularly check issues discuss actions taken relaying decisions related depart ments, risk opportun samsung electron regularli monitor issu relat climat chang ghg renew energi use worksit around world person charg worksit ask immedi report issu may aris headquart environment safeti committe ghg manag council regularli check issu discuss action taken relay decis relat depart ment ,6,0,9,0,1,4,5,3
256,256,strategy build wetlands dikes protect worksites flooding nearby rivers renew catastrophe insurance year regularly check flood control equipment increase frequency on-site water quality analysis improve efficiency water treatment facilities establish emergency response system conduct regular drills preparation wastewater leaks caused river-flooding around worksites install water storage tanks capable operating production facilities average one day treat sewage wastewater worksites terminal treatment facility within industrial complex (no in-house sewage/ wastewater treatment facility operation) secure water quality pre-intake water treatment process,strategy build wetlands dikes protect worksites flooding nearby rivers renew catastrophe insurance year regularly check flood control equipment increase frequency onsite water quality analysis improve efficiency water treatment facilities establish emergency response system conduct regular drills preparation wastewater leaks caused riverflooding around worksites install water storage tanks capable operating production facilities average one day treat sewage wastewater worksites terminal treatment facility within industrial complex no inhouse sewage wastewater treatment facility operation secure water quality preintake water treatment process, strategi build wetland dike protect worksit flood nearbi river renew catastroph insur year regularli check flood control equip increas frequenc onsit water qualiti analysi improv effici water treatment facil establish emerg respons system conduct regular drill prepar wastewat leak caus riverflood around worksit instal water storag tank capabl oper product facil averag one day treat sewag wastewat worksit termin treatment facil within industri complex no inhous sewag wastewat treatment facil oper secur water qualiti preintak water treatment process ,0,0,4,3,1,9,1,0
119,119,"metrics samsung electronics uses various metrics, ghg emissions, ghg emissions intensity(coe per krw) energy expenditure savings, measure determine risks opportunities related climate change. spe- cifically, use internally determined carbon price guide decision-making process terms energy effi- cient facilities, power generation, carbon credit settlement, renewable energy project investment.",metrics samsung electronics uses various metrics ghg emissions ghg emissions intensitycoe per krw energy expenditure savings measure determine risks opportunities related climate change spe cifically use internally determined carbon price guide decisionmaking process terms energy effi cient facilities power generation carbon credit settlement renewable energy project investment, metric samsung electron use variou metric ghg emiss ghg emiss intensityco per krw energi expenditur save measur determin risk opportun relat climat chang spe cific use intern determin carbon price guid decisionmak process term energi effi cient facil power gener carbon credit settlement renew energi project invest ,0,0,9,9,1,9,5,0
259,259,"water resource management activities strive minimize amount water used manufac- turing process, maximizing wastewater purification subsequent reuse. classify water resources four catego- ries: sewage, wastewater, industrial water, ultra-pure water. order increase water reuse regional subsidiary, amount water reused category managed mea- sured global environment, health & safety system (g-ehs system) every month. installed underground water pollution prevention facilities required, dis- charged water safely treated using internal external treat- ment facilities. discharging used water directly stream in-house treatment facilities, apply in-house stan- dards go beyond required legal standard.",water resource management activities strive minimize amount water used manufac turing process maximizing wastewater purification subsequent reuse classify water resources four catego ries sewage wastewater industrial water ultrapure water order increase water reuse regional subsidiary amount water reused category managed mea sured global environment health  safety system gehs system every month installed underground water pollution prevention facilities required dis charged water safely treated using internal external treat ment facilities discharging used water directly stream inhouse treatment facilities apply inhouse stan dards go beyond required legal standard, water resourc manag activ strive minim amount water use manufac ture process maxim wastewat purif subsequ reus classifi water resourc four catego rie sewag wastewat industri water ultrapur water order increas water reus region subsidiari amount water reus categori manag mea sure global environ health  safeti system geh system everi month instal underground water pollut prevent facil requir di charg water safe treat use intern extern treat ment facil discharg use water directli stream inhous treatment facil appli inhous stan dard go beyond requir legal standard ,6,0,1,5,1,4,2,5
630,630,business ethics prohibition improper gains disclosure information intellectual property protection identity protection personal information prohibition retaliation,business ethics prohibition improper gains disclosure information intellectual property protection identity protection personal information prohibition retaliation, busi ethic prohibit improp gain disclosur inform intellectu properti protect ident protect person inform prohibit retali ,6,0,0,3,1,4,1,1
78,78,"digital devices online learning access online learning expanded result covid-19, children limited access digital devices suffered lack educational opportunities. effort improve access, supported underprivileged children digital devices, including 30,000 tablet pcs, south korea spain.",digital devices online learning access online learning expanded result covid19 children limited access digital devices suffered lack educational opportunities effort improve access supported underprivileged children digital devices including 30000 tablet pcs south korea spain, digit devic onlin learn access onlin learn expand result covid19 children limit access digit devic suffer lack educ opportun effort improv access support underprivileg children digit devic includ 30000 tablet pc south korea spain ,6,0,9,0,1,4,5,3
534,534,categorize suppliers four rating groups based inspection outcomes (based credibility submitted data management level conflict-affected high-risk minerals),categorize suppliers four rating groups based inspection outcomes based credibility submitted data management level conflictaffected highrisk minerals, categor supplier four rate group base inspect outcom base credibl submit data manag level conflictaffect highrisk miner ,0,0,0,3,1,9,1,1
80,80,"supporting residential treatment center - yeongdeok training institute provided yeongdeok training institute used treat- ment facility support daegu south gyeongsang province, two regions south korea suffered shortage medical staffs facilities due surge number covid-19 patients. facility used treat mild symptoms virus, allowing general hospitals focus treating severe symptoms.",supporting residential treatment center  yeongdeok training institute provided yeongdeok training institute used treat ment facility support daegu south gyeongsang province two regions south korea suffered shortage medical staffs facilities due surge number covid19 patients facility used treat mild symptoms virus allowing general hospitals focus treating severe symptoms, support residenti treatment center  yeongdeok train institut provid yeongdeok train institut use treat ment facil support daegu south gyeongsang provinc two region south korea suffer shortag medic staff facil due surg number covid19 patient facil use treat mild symptom viru allow gener hospit focu treat sever symptom ,6,0,0,3,1,4,1,1
293,293,"established technical-tree reduce use bfrs (supply chain improvement) banned use bfrs packaging materials set plans reduce use bfrs pvc released mobile phones free bfrs/pvc (some models) banned use pfos antimony compounds released newly developed mobile phone/camera/mp3 player products free bfrs/pvc banned use cobalt chloride released mobile phones free beryllium compounds banned use chlorinated flame retardants mobile phones mp3 players released pvc-free products (laptops, tvs, monitors, home theater components) released products free phthalates antimonides (laptops, tvs, monitors, home theater components) banned use hbcd nonylphenol banned use four types phthalates new components (dehp, bbp, dbp, dibp) banned use four types phthalates (dehp, bbp, dbp, dibp) components banned use additional eight types phthalates (dinp, didp, dnop, dnhp, dmep, dipp, npipp, dnpp) july 2019 banned use sterilizers/anti-corrosion agents (phmg, pgh, phmb, cmit, mit products filters (air conditioners, air purifiers)",established technicaltree reduce use bfrs supply chain improvement banned use bfrs packaging materials set plans reduce use bfrs pvc released mobile phones free bfrspvc some models banned use pfos antimony compounds released newly developed mobile phonecameramp3 player products free bfrspvc banned use cobalt chloride released mobile phones free beryllium compounds banned use chlorinated flame retardants mobile phones mp3 players released pvcfree products laptops tvs monitors home theater components released products free phthalates antimonides laptops tvs monitors home theater components banned use hbcd nonylphenol banned use four types phthalates new components dehp bbp dbp dibp banned use four types phthalates dehp bbp dbp dibp components banned use additional eight types phthalates dinp didp dnop dnhp dmep dipp npipp dnpp july 2019 banned use sterilizersanticorrosion agents phmg pgh phmb cmit mit products filters air conditioners air purifiers, establish technicaltre reduc use bfr suppli chain improv ban use bfr packag materi set plan reduc use bfr pvc releas mobil phone free bfrspvc some model ban use pfo antimoni compound releas newli develop mobil phonecameramp3 player product free bfrspvc ban use cobalt chlorid releas mobil phone free beryllium compound ban use chlorin flame retard mobil phone mp3 player releas pvcfree product laptop tv monitor home theater compon releas product free phthalat antimonid laptop tv monitor home theater compon ban use hbcd nonylphenol ban use four type phthalat new compon dehp bbp dbp dibp ban use four type phthalat dehp bbp dbp dibp compon ban use addit eight type phthalat dinp didp dnop dnhp dmep dipp npipp dnpp juli 2019 ban use sterilizersanticorros agent phmg pgh phmb cmit mit product filter air condition air purifi ,6,0,8,8,1,4,8,1
292,292,"chemical substances management conduct rigorous pre-inspection follow-up management parts raw materials contain substances concern. especially ensure highest level control stan- dards control substances used products, incorpo- rates international environmental regulations, including eu's restriction hazardous substances (rohs) registration, evaluation, authorization restriction chemicals (reach). addition, committed reducing use substances concern, polyvinyl chloride (pvc), brominated flame retar- dants (bfrs), beryllium, antimonides. also operate environment chemicals integrated management system (e-cims), designed determine existence restricted substances parts products suppliers, ensure products contain any. furthermore, established environmen- tal analysis laboratory analyze rohs regulations (6 items phthalate) strengthen internal monitoring process. 2019, environmental analysis laboratory credited korea laboratory accreditation scheme (kolas) certification, adding reliability data analytics experimental capability.",chemical substances management conduct rigorous preinspection followup management parts raw materials contain substances concern especially ensure highest level control stan dards control substances used products incorpo rates international environmental regulations including eus restriction hazardous substances rohs registration evaluation authorization restriction chemicals reach addition committed reducing use substances concern polyvinyl chloride pvc brominated flame retar dants bfrs beryllium antimonides also operate environment chemicals integrated management system ecims designed determine existence restricted substances parts products suppliers ensure products contain any furthermore established environmen tal analysis laboratory analyze rohs regulations 6 items phthalate strengthen internal monitoring process 2019 environmental analysis laboratory credited korea laboratory accreditation scheme kolas certification adding reliability data analytics experimental capability, chemic substanc manag conduct rigor preinspect followup manag part raw materi contain substanc concern especi ensur highest level control stan dard control substanc use product incorpo rate intern environment regul includ eu restrict hazard substanc roh registr evalu author restrict chemic reach addit commit reduc use substanc concern polyvinyl chlorid pvc bromin flame retar dant bfr beryllium antimonid also oper environ chemic integr manag system ecim design determin exist restrict substanc part product supplier ensur product contain ani furthermor establish environmen tal analysi laboratori analyz roh regul 6 item phthalat strengthen intern monitor process 2019 environment analysi laboratori credit korea laboratori accredit scheme kola certif ad reliabl data analyt experiment capabl ,6,0,0,8,1,4,1,1
169,169,"footnotes: 1) employees trained rba methodology 2) 51 items fields labor human rights, health safety, environment, business ethics 3) 27 items human rights legal compliance; 41 items human resources policy, employee representative bodies, etc.;",footnotes 1 employees trained rba methodology 2 51 items fields labor human rights health safety environment business ethics 3 27 items human rights legal compliance 41 items human resources policy employee representative bodies etc, footnot 1 employe train rba methodolog 2 51 item field labor human right health safeti environ busi ethic 3 27 item human right legal complianc 41 item human resourc polici employe repres bodi etc ,0,0,9,9,1,9,5,0
634,634,"footnotes: 1) included amount renewable energy consumed calculated accordance ghg management guidelines country,",footnotes 1 included amount renewable energy consumed calculated accordance ghg management guidelines country, footnot 1 includ amount renew energi consum calcul accord ghg manag guidelin countri ,6,0,4,3,1,4,1,0
289,289,"product's environmental information - life cycle assessment perform life cycle assessment (lca) analyze environmental impacts entire life cycle prod- ucts across product manufacture, use, logistics stages reflect results product development. 2019, example, performed lca 24-inch monitor (model: s24e650pl) attained environ- mental product declaration (epd) underwriters labo- ratories (ul). analyzed impact monitor products global warming evaluating 12 environmen- tal impact categories process pre-manufacture, manufacture, distribution, use disposal. result, saw use phase largest impact 76% stages. large amount greenhouse gas emitted process producing electricity con- sumed use phase. based results, try minimize power consumption standby power monitors reflecting results develop- ment stage. footnote: 1) 12 major environmental impact categories: global warming, acidifi- cation, eutrophication, ozone depletion, formation photochemical oxidants, human toxicity, freshwater ecotoxicity, seawater ecotoxicity, soil ecotoxicity, primary energy consumption, water consumption, waste generation",products environmental information  life cycle assessment perform life cycle assessment lca analyze environmental impacts entire life cycle prod ucts across product manufacture use logistics stages reflect results product development 2019 example performed lca 24inch monitor model s24e650pl attained environ mental product declaration epd underwriters labo ratories ul analyzed impact monitor products global warming evaluating 12 environmen tal impact categories process premanufacture manufacture distribution use disposal result saw use phase largest impact 76 stages large amount greenhouse gas emitted process producing electricity con sumed use phase based results try minimize power consumption standby power monitors reflecting results develop ment stage footnote 1 12 major environmental impact categories global warming acidifi cation eutrophication ozone depletion formation photochemical oxidants human toxicity freshwater ecotoxicity seawater ecotoxicity soil ecotoxicity primary energy consumption water consumption waste generation, product environment inform  life cycl assess perform life cycl assess lca analyz environment impact entir life cycl prod uct across product manufactur use logist stage reflect result product develop 2019 exampl perform lca 24inch monitor model s24e650pl attain environ mental product declar epd underwrit labo ratori ul analyz impact monitor product global warm evalu 12 environmen tal impact categori process premanufactur manufactur distribut use dispos result saw use phase largest impact 76 stage larg amount greenhous ga emit process produc electr con sume use phase base result tri minim power consumpt standbi power monitor reflect result develop ment stage footnot 1 12 major environment impact categori global warm acidifi cation eutroph ozon deplet format photochem oxid human toxic freshwat ecotox seawat ecotox soil ecotox primari energi consumpt water consumpt wast gener ,6,0,4,9,1,4,5,0
538,538,"establishing risk management plan reporting relevant information audit every supplier use conflict minerals origins minerals. suppliers use minerals certified rmap, encourage switch rmap-cer- tified smelters. materials made minerals rmap certified, reject transactions g-srm. addi- tion, established various channels provide around- the-clock support suppliers resolving grievances related conflict minerals.",establishing risk management plan reporting relevant information audit every supplier use conflict minerals origins minerals suppliers use minerals certified rmap encourage switch rmapcer tified smelters materials made minerals rmap certified reject transactions gsrm addi tion established various channels provide around theclock support suppliers resolving grievances related conflict minerals, establish risk manag plan report relev inform audit everi supplier use conflict miner origin miner supplier use miner certifi rmap encourag switch rmapcer tifi smelter materi made miner rmap certifi reject transact gsrm addi tion establish variou channel provid around theclock support supplier resolv grievanc relat conflict miner ,0,0,4,3,1,9,1,0
87,87,"(root impact), dexter galvin (cdp), michael rohwer (bsr), robert lederer (rba)",root impact dexter galvin cdp michael rohwer bsr robert lederer rba, root impact dexter galvin cdp michael rohwer bsr robert leder rba ,0,0,8,1,1,9,0,7
539,539,"2019, found three smelters within supply chain delisted list rmap-certified smelters requested 195 suppliers used smelters make adjust- ments, changing suppliers. result, sup- pliers business rmap-certified smelters, end 2019. footnotes: 1) npm silmet (tantalum), modeltech sdn bhd (tin), al etihad gold refinery",2019 found three smelters within supply chain delisted list rmapcertified smelters requested 195 suppliers used smelters make adjust ments changing suppliers result sup pliers business rmapcertified smelters end 2019 footnotes 1 npm silmet tantalum modeltech sdn bhd tin al etihad gold refinery, 2019 found three smelter within suppli chain delist list rmapcertifi smelter request 195 supplier use smelter make adjust ment chang supplier result sup plier busi rmapcertifi smelter end 2019 footnot 1 npm silmet tantalum modeltech sdn bhd tin al etihad gold refineri ,0,0,5,1,1,9,0,4
